id;category_id;title;condition;car_year;brand;model;version;engine;engine_power;doors;km;fuel_type;traction_control;passenger_capacity;transmission;currency;price;seller_id;seller_nickname;is_car_shop;seller_country;seller_state;seller_city;seller_neighborhood
MLA1649158804;MLA1744;Volkswagen Gol Power 1.4 5ptas Año 2011 - Liv Motors;Usado;2011;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;119000 km;Nafta;Delantera;5;Manual;ARS;6000000;116720298;LIV MOTORS;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro;Villa Adelina
MLA1650788970;MLA1744;Volkswagen Gol 2014 1.4 Power 83cv 5 P;Usado;2014;Volkswagen;Gol;1.4 Power 83cv 5 p;1.4;83 hp;5;83000 km;Nafta;Delantera;5;Manual;USD;4300;315431813;BEPAUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;Vicente López;
MLA1649877538;MLA1744;Volkswagen Gol 2014 1.4 Power 83cv;Usado;2014;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;95000 km;Nafta;Delantera;5;Manual;ARS;4850000;51991560;JUANPIMANCU2007;FALSO;Argentina;Capital Federal;Capital Federal;
MLA1650622336;MLA1744;Volkswagen Gol Dublin;Usado;2003;Volkswagen;Gol;1.6 Mi Deejay;1.6;90 hp;3;40017 km;Nafta;Delantera;5;Manual;ARS;4500000;250351445;FRATELLI AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín;Villa Lynch
MLA1649841750;MLA1744;Volkswagen Gol 2004 1.6 Aire Y Direccion Impecable Estado!!!;Usado;2004;Volkswagen;Gol;1.6 Trendline;1.6;90 hp;3;187000 km;Nafta;Delantera;5;Manual;ARS;4500000;19437844;ROBER18E;FALSO;Argentina;Bs.As. G.B.A. Sur;Lanús;
MLA1652501268;MLA1744;Volkswagen Gol 1.0 Nafta 2001;Usado;2001;Volkswagen;Gol;1.0;1.2;;3;111111 km;Nafta;Delantera;;Manual;ARS;4200000;795670801;AZZURRI_2021;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;Wilde
MLA1657943174;MLA1744;Volkswagen Gol 1.4 L. Vendo Permuto O Financio (jm);Usado;2013;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;5;140000 km;Nafta;Delantera;5;Manual;ARS;4400000;716711135;GTCARSSRLGTCARSSRL;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;Avellaneda
MLA1657935288;MLA1744;Volkswagen Gol 1.4 L M.t ;Usado;2011;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;182000 km;Nafta;Delantera;5;Manual;ARS;3000000;716711135;GTCARSSRLGTCARSSRL;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;Piñeyro
MLA1533907810;MLA1744;Volkswagen 2010 Gol 1.6 3ptas Comfortline Ln Ab;Usado;2010;Volkswagen;Gol;1.9 Sd Comfortline 60a;1.6;;3;159000 km;Nafta;Delantera;5;Manual;USD;4700;823773401;ZION.AUTOS;FALSO;Argentina;Bs.As. G.B.A. Sur;Berazategui;Berazategui
MLA1657907190;MLA1744;Volkswagen Gol Power 2012 M.t ;Usado;2012;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;118000 km;Nafta;Delantera;5;Manual;ARS;4300000;716711135;GTCARSSRLGTCARSSRL;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;Piñeyro
MLA1405384703;MLA1744;Vw Gol Power 1.6 3ptas 2006;Usado;2006;Volkswagen;Gol;1.6 I Power 601 3 p;1.6;92 hp;3;215000 km;Nafta;Delantera;5;Manual;ARS;4600000;635202584;MIRETTI.AUTOS;FALSO;Argentina;Córdoba;Córdoba;Alto Verde
MLA1403820757;MLA1744;Volkswagen Gol Power 1.6 3 Puertas;Usado;2009;Volkswagen;Gol;1.6 I Power 701;1.6;92 hp;3;200000 km;Nafta;Delantera;5;Manual;USD;4500;190451801;VAEM8809443;FALSO;Argentina;Bs.As. G.B.A. Norte;Pilar;Pilar
